,nodes,edges,pos
2838,2838,"[506, 607, 1564, 2175, 2374, 3442, 1072, 1457, 1803, 3389]","[0.13578355904324346, 0.17212590506793668]"
2839,2839,"[586, 587, 645, 4158, 1766, 3639, 3976, 4237, 4545, 4935]","[0.7784830842547695, 0.424812591297253]"
2840,2840,"[368, 595, 900, 919, 1911, 2076, 2188, 2548, 3618, 3478, 4641, 3749, 4304, 4003, 3024, 373, 1362, 2418, 3089, 3172, 3940, 4364, 4798, 4800]","[0.5367754453920159, 0.8251610466028036]"
2841,2841,"[292, 4654, 1523, 4979]","[0.42139254444690744, 0.229524129640173]"
2842,2842,"[234, 1223, 2154, 2160, 2358, 2396, 2695, 2820, 3805, 4772, 4235, 372, 945, 948, 1427, 1619, 2165, 2290, 2441, 2727, 3008, 3015, 3168, 3603, 3611, 4034, 4039, 4194, 4755, 4797, 4865, 4906]","[0.2833746240177861, 0.5579000446189928]"
2843,2843,"[11, 781, 1832, 2061, 2687, 3761, 2997, 3105, 21, 311, 1509, 1594, 1732, 2623]","[0.9824043711541409, 0.3135456078699479]"
2844,2844,"[1019, 1206, 2315, 2818, 2891, 2872, 4929, 3479, 456, 623, 666, 1123, 1140, 1447, 2314, 2562, 3043, 3955, 4543]","[0.03999880498022601, 0.30571780610819266]"
2845,2845,"[2349, 2636, 2874, 3729, 4527, 4076, 1030, 2262, 2596, 2889, 2930, 3847, 3919, 4054, 4269]","[0.75997235000706, 0.3075212296803099]"
2846,2846,"[1787, 3810, 3225, 4191, 4404, 4163, 611, 819, 1234, 1807, 1910, 2460, 2493, 2926, 3596, 3652]","[0.7047956692899159, 0.9279752758808896]"
2847,2847,"[67, 584, 1765, 2192, 3011, 35, 90, 2549, 3587]","[0.7770697788148528, 0.02164660603250468]"
2848,2848,"[746, 1043, 1153, 2499, 3674, 3519, 1774, 2064, 2287, 3065]","[0.20855989225549276, 0.33370933915043444]"
2849,2849,"[279, 295, 771, 1202, 1203, 2644, 2757, 3766, 3035, 3137, 908, 963, 1120, 1395, 1517, 1602, 1913, 2126, 2734, 3992, 4618, 4836]","[0.3751484915146085, 0.10809369609240083]"
2850,2850,"[194, 228, 599, 2632, 2735, 2783, 3682, 4071, 253, 787, 1051, 1892, 2260, 2923, 3059, 4427, 4714]","[0.9105598900028345, 0.41711152951675434]"
2851,2851,"[1894, 2715, 1460, 3265]","[0.6835753831707794, 0.6434989800182197]"
2852,2852,"[55, 243, 1608, 1663, 2456, 2774, 4856, 4487, 567, 1655, 2252, 3052, 4770]","[0.11666181993890468, 0.5835923555848819]"
2853,2853,"[1283, 1967, 2080, 2083, 3476, 3214, 2780, 2928, 3921, 4083, 4788, 4830, 4877]","[0.4347421239460929, 0.494291699863351]"
2854,2854,"[444, 1104, 1134, 1501, 2469, 2560, 3132, 4946, 1130, 2947, 3125, 3321, 4105, 4238, 4577, 4866]","[0.08790911959847636, 0.4679139552598127]"
2855,2855,"[123, 1522, 2328, 2635, 3239, 862, 3274]","[0.9183620516168607, 0.6125445620508057]"
2856,2856,"[135, 1008, 1162, 2506, 4008, 4671, 4240, 4967, 405, 613, 703, 841, 1240, 1606, 1797]","[0.3416204057078769, 0.2524015028354708]"
2857,2857,"[231, 236, 2387, 2609, 2938, 4850, 677, 875, 1921, 2385, 2828, 3724, 4610, 4685, 4975]","[0.3234201713391811, 0.7284213524208402]"
2858,2858,"[332, 448, 643, 1642, 1848, 4490, 3148, 3547, 3308, 148, 200, 477, 743, 2156, 2421, 3813]","[0.18409252794845066, 0.1971525301103324]"
2859,2859,[3364],"[0.8293106636981132, 0.3984685612003602]"
2860,2860,"[74, 2306, 4703, 3302, 4921, 150, 619, 693, 1377, 1975, 2022, 4080, 4884]","[0.08444532150921857, 0.8196799810601201]"
2861,2861,"[107, 686, 1527, 1948, 2339, 2794, 4200, 4444, 3084, 4549, 521, 664, 989, 1636, 2082, 2409, 3781, 4054, 4449, 4576]","[0.7362349385237964, 0.35866707405458853]"
2862,2862,"[443, 2259, 4308, 1046, 2257, 2662]","[0.586164431543893, 0.5795250244731811]"
2863,2863,"[1159, 2291, 3936, 59, 2640, 2825]","[0.8838384136706853, 0.056520789216973455]"
2864,2864,"[547, 1141, 3759, 3193, 3840, 3901, 850, 1121, 1422, 1532, 1845, 3579, 4012]","[0.6938879496834689, 0.5360972046890902]"
2865,2865,"[169, 246, 500, 910, 1394, 1553, 4754, 352, 3086]","[0.5299074601033046, 0.6391417249785419]"
2866,2866,"[639, 1211, 4340, 3569, 4969, 4374, 4730, 420, 947, 1438, 1470, 4757]","[0.410878957200529, 0.8108323699840059]"
2867,2867,"[1210, 1774, 2910, 4365, 3670, 4799, 3750, 7, 270, 1399, 1404, 1753, 2064, 3674, 3816, 4689, 4752]","[0.24555857153240246, 0.32542310575716005]"
2868,2868,"[183, 2098, 2654, 2819, 4923, 1389, 2667, 4750, 4784]","[0.8461971361574625, 0.18316763758033372]"
2869,2869,"[1650, 2725]","[0.538483177514688, 0.498177749405332]"
2870,2870,"[333, 1313, 1374, 3610, 3757, 4536, 877, 1459, 2164, 2738, 2746, 3360]","[0.9570241775869822, 0.05997452133738257]"
2871,2871,"[283, 887, 1235, 1770, 1811, 3260, 3163, 361, 1559, 2793, 3175]","[0.40631285940681305, 0.6147454600196688]"
2872,2872,"[456, 1019, 2818, 2844, 3479, 4929, 666, 1206, 2314, 2315, 2891, 3043, 3955]","[0.04547309978483982, 0.3163468604733142]"
2873,2873,"[660, 1690, 2212, 4187, 4805, 840, 2180, 3278]","[0.16806319279508275, 0.3143588659895731]"
2874,2874,"[1030, 2262, 2596, 2845, 3710, 4269, 3919, 3847, 2889, 3729, 521, 1603, 2082, 2584, 4527]","[0.7725481595089331, 0.32275645830197786]"
2875,2875,"[1099, 1413, 1444, 1854, 2542, 3912, 4561, 4195, 3819, 1259, 1873, 2937]","[0.8749975014821745, 0.5314930604408407]"
2876,2876,"[483, 4021, 4216, 4275, 3275, 3334, 3453, 4955, 196, 264, 837, 2035, 2145, 3213, 3390, 3822, 3954, 4909, 4974, 4991]","[0.18037293520336173, 0.2627495937589531]"
2877,2877,"[202, 716, 1157, 1304, 2606, 3363, 3595, 4, 376, 525, 556, 2619, 3158, 3300, 4708, 4945, 4994]","[0.80055861248724, 0.7138488448121069]"
2878,2878,"[362, 666, 689, 1140, 1647, 3955, 468, 2557, 2940, 4655]","[0.07850476683186447, 0.319666399594689]"
2879,2879,"[454, 472, 793, 1937, 2081, 2598, 3972, 3868, 4447, 447, 612, 754, 1643, 2319, 2464, 3037]","[0.4782425446518168, 0.7537197565125299]"
2880,2880,"[1860, 2378, 4256, 3792, 853, 2673, 2758, 2989, 3138, 3170]","[0.9092204178486053, 0.7277450248317665]"
2881,2881,"[1073, 2236, 2736, 4378, 4622, 3208, 2911, 358, 2010, 2066, 2244, 2282, 2299, 2394, 2752, 3322, 4317]","[0.8680388536091426, 0.5943093805096065]"
2882,2882,"[158, 937, 1607, 1884, 1925, 1933, 2235, 2528, 2554, 3392, 4614, 1347, 2228, 2766, 4300]","[0.9696464135218789, 0.24817367590788764]"
2883,2883,"[952, 1423, 1536, 1603, 1924, 2584, 2965, 174, 521, 783, 878, 1030, 1198, 2082, 2262, 2500, 3477, 3639]","[0.7903299824162873, 0.36089320177267326]"
2884,2884,"[970, 2093, 2193, 3265, 858, 1342, 1460, 1894, 2715]","[0.6986166299300102, 0.6735436008311274]"
2885,2885,"[1747, 1889, 2744, 4943, 3015, 3499, 4041, 1619, 1666, 1949, 2008, 2165, 2275, 2290, 2441, 2727, 3603, 3611, 3805, 4194, 4700, 4755]","[0.31472881106291384, 0.6006072374998914]"
2886,2886,"[66, 4052, 3010, 4438, 4019]","[0.8892693304640599, 0.8425093557723471]"
2887,2887,"[1434, 2691, 3887, 4922, 1054, 1504, 3511, 3943, 4228, 4638, 4656]","[0.9373694966937887, 0.8036975223245391]"
2888,2888,"[834, 1549, 1850, 2347, 2496, 2533, 3369, 3443, 63, 494, 1013, 1037, 2903, 3313, 4141, 4266, 4803, 4899]","[0.046337921902206536, 0.5661874798189951]"
2889,2889,"[1030, 2262, 2596, 2874, 4269, 3710, 3729, 3919, 521, 2082, 2845, 3847]","[0.7839749732329613, 0.32996150003755254]"
2890,2890,"[25, 1488, 1946, 3999, 3702, 3406, 4496, 113, 662, 676, 873, 881, 1473, 1880, 2834, 3348, 4411]","[0.2725741761140966, 0.484525980999987]"
2891,2891,"[623, 1019, 1123, 1505, 2315, 2711, 2844, 4543, 3479, 32, 666, 1140, 1206, 1447, 1561, 1692, 2562, 2872, 3346, 3866, 3955, 4929]","[0.049952274486958825, 0.29597439888491817]"
2892,2892,"[609, 3907, 4926, 3979, 1232, 1485, 3508, 4738, 4968]","[0.6512652765486544, 0.3730093117954373]"
2893,2893,"[1816, 2538, 4030, 161, 1687, 3005]","[0.13654053482784068, 0.5172629996477544]"
2894,2894,"[2207, 2388, 2534, 4640, 4148, 744, 865, 1511, 3312, 4682]","[0.2491779427808567, 0.24576195350969487]"
2895,2895,"[806, 1212, 1459, 2164, 4536, 333, 877, 2354, 3610, 3757, 4045, 4126, 4473]","[0.9774575866759168, 0.07720302615533747]"
2896,2896,"[4172, 3949, 204, 1135, 2060]","[0.5504320747380795, 0.9469538174176786]"
2897,2897,"[14, 240, 259, 305, 997, 1430, 1489, 2379, 2380, 2832, 4376, 4660, 4062, 45, 239, 349, 478, 593, 927, 1087, 1263, 1578, 2097, 2450, 3704, 3725, 3885, 4286, 4832]","[0.13759539586716074, 0.6721575295007106]"
2898,2898,"[301, 860, 1653, 2090, 753, 2469, 3321, 4866]","[0.09722187366028656, 0.5185786885071295]"
2899,2899,"[523, 717, 794, 1528, 4060, 4873, 672, 816, 1336, 1762, 3027, 3466, 3522, 3787]","[0.38969270494148844, 0.29756505165993063]"
2900,2900,"[579, 832, 1330, 1436, 4780, 3488, 544, 1009, 1112, 1429, 1712, 2714, 3401, 3777, 4503, 4781, 4826]","[0.21262098055332612, 0.5064709387396389]"
2901,2901,"[2718, 4605, 4321, 3164, 4081, 441, 1307, 3521]","[0.235445893769187, 0.007105518300734137]"
2902,2902,"[2221, 3102, 4013, 943, 2697, 3199, 3350, 3697, 3753, 4106]","[0.7002449049097302, 0.14875261273856566]"
2903,2903,"[567, 1013, 1655, 1850, 2347, 4803, 4959, 243, 494, 753, 1663, 1902, 2456, 2496, 2888, 3052, 3441, 3443, 4266, 4770]","[0.07191332661497496, 0.5731986391709244]"
2904,2904,"[101, 2586, 2789, 4319, 4466, 4100, 2348, 4738, 4973]","[0.6169780979646928, 0.37716748335180783]"
2905,2905,"[356, 3563, 4449, 4576, 4990, 3781, 3616, 107, 664, 1005, 1485, 1527, 1711, 2417, 2593, 2794, 3508]","[0.7124391908618132, 0.3822238188586281]"
2906,2906,"[1617, 4688, 4894, 1069, 2427, 4091]","[0.15241638535845858, 0.4997206186865053]"
2907,2907,"[230, 944, 1048, 2309, 4771, 4861, 153, 407, 1007, 2178, 3200, 3296, 3973]","[0.6799418560924962, 0.8540496989471282]"
2908,2908,"[678, 1631, 1695, 2563, 520, 1277]","[0.7070264371327034, 0.8094811484574043]"
2909,2909,"[981, 2255, 2660, 3431, 4338, 1367, 1474, 1592, 1918, 3050, 3306, 3561, 4296, 4542]","[0.7291812913128408, 0.2353536160321451]"
2910,2910,"[270, 1210, 1399, 1404, 1774, 2064, 2867, 3670, 4689, 4365, 7, 91, 746, 797, 1753, 2202, 3750, 3816]","[0.24982427332417545, 0.3122389600223717]"
2911,2911,"[1073, 2010, 2236, 2736, 2881, 4378, 3208, 4622, 358, 2066, 2244, 2282, 2299, 2394, 2752, 3322, 4317, 4393]","[0.8700276762281502, 0.5946156985069595]"
2912,2912,"[543, 2042, 2148, 3512, 12, 337, 651, 905, 1639, 1678, 1699, 2052, 2674, 2684, 3172, 3344]","[0.5697065163758742, 0.8758929284584672]"
2913,2913,"[265, 330, 914, 1034, 1076, 2269, 2353, 2811, 3159, 4711, 4224, 1015, 1196, 1525, 2239, 3099, 3965, 4026, 4069, 4483]","[0.5116487985171976, 0.30975553927842103]"
2914,2914,"[320, 904, 1139, 1612, 1662, 2670, 3770, 4773, 654, 1939, 2084, 2268, 4557]","[0.9885578018480079, 0.712914245174975]"
2915,2915,"[201, 303, 875, 1740, 2449, 4685, 4610, 231, 1921, 2561, 2938, 4156]","[0.33611362111379295, 0.6929252378395956]"
2916,2916,"[199, 928, 2051, 2697, 3744, 4648, 4346, 4913, 3529, 3459, 414, 756, 1918, 2477, 3050, 3199, 3625, 4058, 4106, 4535]","[0.6893865023026704, 0.1887516600049518]"
2917,2917,"[386, 804, 1507, 4751, 4807, 2567, 3122, 4709]","[0.8038348623760783, 0.1406176416454662]"
2918,2918,"[1081, 1729, 2395, 2457, 2944, 4250, 82, 436, 522, 1779, 2827, 4025]","[0.7343486993435863, 0.6362471642511976]"
2919,2919,"[179, 2640, 2755, 2831, 594, 1645, 2291, 2724, 3211, 3558, 3795, 3936, 4883]","[0.8620403261499543, 0.05932033102267997]"
2920,2920,"[2304, 3352, 3274, 1522, 2605, 2635, 3897, 4686]","[0.9436431407927881, 0.6326857646169622]"
2921,2921,"[286, 371, 839, 1192, 1837, 2268, 3491, 683, 1681, 1939, 2758, 3770, 4557]","[0.9591435830397659, 0.6861679621019963]"
2922,2922,"[120, 160, 984, 1216, 1242, 1674, 3693, 4419, 3933, 3469, 397, 996, 1328, 1417, 1515, 1778, 1865, 2047, 2420, 2519, 2578, 2795, 4118]","[0.11476468975749132, 0.9769583404374583]"
2923,2923,"[194, 1892, 2632, 228, 599, 2735, 2783, 2850, 3059, 3682]","[0.9318039334659546, 0.4225575641894104]"
2924,2924,"[907, 1757, 2301, 27, 1635]","[0.5408453888545534, 0.6717615859118478]"
2925,2925,"[6, 167, 913, 2000, 2804, 3388, 4135, 3762, 4129, 95, 133, 269, 1082, 1741, 1809, 2459, 2817, 2823, 3717, 4699]","[0.8067320747949588, 0.7740930789514258]"
2926,2926,"[611, 812, 1290, 2467, 2493, 4163, 3225, 3963, 4901, 819, 1676, 1807, 2162, 2846, 3234, 3650, 3836, 4095, 4842]","[0.6767538089286693, 0.9339990366004612]"
2927,2927,"[3394, 3550, 3379, 3848, 577, 1246, 2167, 3347, 3771, 3802]","[0.9518190166784314, 0.47142395108972757]"
2928,2928,"[1967, 2083, 2773, 2780, 3828, 3537, 741, 2246, 2333, 2853, 3463, 4838]","[0.4525685648312383, 0.4785681332474768]"
2929,2929,"[631, 961, 1622, 2486, 2572, 4065, 1224, 1483, 1843, 2403, 3542, 3852, 4430]","[0.04586186296202999, 0.9680199511233197]"
2930,2930,"[412, 2349, 2845, 4527]","[0.7474594345534467, 0.2795554323730771]"
2931,2931,"[503, 1531, 2217, 3165, 4635, 3063, 603, 1745, 3238]","[0.3217133875351883, 0.18205759089163898]"
2932,2932,"[572, 1086, 1645, 2357, 1713, 2755, 3332]","[0.8669017570043959, 0.03944898711976863]"
2933,2933,"[1677, 3502, 4251, 2993, 3463, 835, 1714, 2435, 3482, 3824, 3828, 4838, 4864]","[0.4942251670569696, 0.4558488264605576]"
2934,2934,"[858, 2093, 4774, 2994, 3339, 4322, 1342, 2289, 4790]","[0.7141171085520484, 0.6889807685188152]"
2935,2935,"[111, 2408, 4087, 241, 2733, 3136, 4077, 4463, 4669, 4769]","[0.22858204566145823, 0.4037694603733757]"
2936,2936,"[2155, 4848, 2951, 3103, 2131, 2336, 4611]","[0.1456502223979964, 0.8669968389544713]"
2937,2937,"[1090, 1259, 2542, 4434, 1099, 1413, 1444, 1854, 2875, 3290, 3912, 4561]","[0.847660276997806, 0.5387340913100742]"
2938,2938,"[231, 875, 2857, 4610, 4975, 4850, 4685, 201, 236, 303, 1740, 1921, 2449, 2609, 2828, 2915, 3724]","[0.3354563664135586, 0.7131705681801609]"
2939,2939,"[640, 1284, 1306, 1905, 1961, 4600, 4294, 4603, 163, 388, 628, 1093, 2006, 2122, 3530, 4133, 4180, 4621, 4874]","[0.18574686225597448, 0.8419248684523966]"
2940,2940,"[666, 1828, 2557, 4655, 3955, 1019, 1561, 1882, 2878]","[0.08234204801650657, 0.2960870976342239]"
2941,2941,"[351, 615, 2179, 2327, 4504, 3048, 4997, 3796, 3671, 315, 602, 679, 1257, 1513, 3221, 3341, 3660, 4452]","[0.32858405282666714, 0.7839134472220533]"
2942,2942,"[628, 2122, 2788, 4288, 4270, 4621, 4492, 3530, 1905, 2006, 4600, 4870]","[0.1505381835238374, 0.8268161382553412]"
2943,2943,"[1001, 1521, 2692, 3633, 820, 3742]","[0.9982367921461133, 0.9465167612388681]"
2944,2944,"[1081, 1729, 2918, 4025, 436, 1460, 2395, 2457]","[0.7228428252393609, 0.6440339301398349]"
2945,2945,"[669, 1324, 1771, 1781, 2825, 3045, 3256, 4036, 4491, 4204, 59, 635, 730, 1159, 2190, 3217, 4858]","[0.9135204821623827, 0.07013655207788017]"
2946,2946,"[78, 137, 1136, 1670, 3624, 2126, 2734, 3930, 3991]","[0.43209877934327845, 0.12575025867345146]"
2947,2947,"[444, 906, 1501, 2560, 4384, 1104, 1130, 2469, 2723, 2854, 3361, 4079, 4717, 4946]","[0.07341158258038749, 0.48209037289622036]"
2948,2948,"[1485, 2417, 4968, 3979, 3830, 3508, 609, 1057, 1232, 3563, 3616, 3907, 4437]","[0.673925754543104, 0.38334693329420366]"
2949,2949,"[295, 1120, 1552, 1602, 4268, 3137, 279, 771, 1202, 2013, 2214, 2455, 2644, 2757, 3766, 4221, 4697]","[0.35616615982170874, 0.11934816640563728]"
2950,2950,"[1012, 1450, 1817, 2719, 3860, 2399, 2664, 2958, 3413, 3451, 4705]","[0.05335953432480034, 0.21538281777426416]"
2951,2951,"[628, 2936, 4848, 3103, 2122, 2155, 3530, 4611, 4621]","[0.14064313960880725, 0.8587688160303614]"
2952,2952,"[537, 586, 1766, 2669, 3639, 4545, 4465, 3976, 4477, 587, 1536, 1628, 1924, 1990, 2500, 3364]","[0.798808730851671, 0.4093729943023062]"
2953,2953,"[2298, 2625, 3739, 3506]","[0.017014870562555573, 0.7389585339943882]"
2954,2954,"[698, 2502, 3684, 2982, 4201, 4102, 644, 1288, 2231, 2343, 3608, 4841]","[0.5108559202442531, 0.18419675000951863]"
2955,2955,"[348, 780, 1665, 2541, 4354, 4918, 574, 865, 1954, 2207, 2421, 3390, 3888, 4023]","[0.21791966599079082, 0.21501645372876532]"
2956,2956,"[291, 597, 1251, 2173, 3995, 3786, 3422, 355, 519, 1354, 1708, 2513, 3250, 4084, 4736, 4831]","[0.38088626772622225, 0.4456641068021573]"
2957,2957,"[338, 2810, 4789, 2732, 4552]","[0.4270534070259241, 0.6192355967047583]"
2958,2958,"[550, 1615, 1976, 2664, 3451, 2967, 3807, 4928, 3705, 4705, 3860, 4808, 393, 1817, 2399, 2950, 3040, 4315, 4710]","[0.019166978321508266, 0.23176450278894978]"
2959,2959,"[1908, 2321, 263, 557, 1341, 1784, 3497, 3589, 4383]","[0.8675382788674424, 0.9491739522050993]"
2960,2960,"[1761, 4162, 4412, 138, 817, 886, 1329, 1547, 3327]","[0.6367340151783363, 0.718039416397759]"
2961,2961,"[903, 3162, 4288, 4723, 3958, 388, 851, 1093, 3530, 4270]","[0.16679070035813837, 0.8005229740655171]"
2962,2962,"[238, 328, 565, 1166, 1962, 4765, 4667, 1746, 2402, 2494, 3876]","[0.1973573192309005, 0.07257386851200098]"
2963,2963,"[119, 925, 3462, 4862, 3229, 4032, 118, 1146, 2150]","[0.7008051591500037, 0.48766744432163345]"
2964,2964,"[399, 1531, 3063, 3238, 3223, 3430, 777, 1222, 2217, 4548]","[0.2989110799435649, 0.19495425831088875]"
2965,2965,"[952, 1423, 1536, 1603, 2584, 2883, 521, 783, 878, 1030, 1198, 1628, 1924, 2262, 2500, 3106, 3477, 3639, 4356]","[0.7937832152875758, 0.35983890870882607]"
2966,2966,"[172, 605, 734, 769, 1359, 1494, 2115, 4574, 4562, 4998, 588, 975, 1101, 1679, 3218, 4505]","[0.8128044630337927, 0.4556498105734047]"
2967,2967,"[550, 1615, 1976, 2664, 2958, 3040, 3807, 3451, 4808, 32, 1817, 2399, 3860, 4315, 4705, 4928]","[0.026203098384649515, 0.2429784398746021]"
2968,2968,"[436, 1270, 1618, 1885, 2210, 1081, 1201, 4025]","[0.6899315166285246, 0.6151188426414383]"
2969,2969,"[1262, 1264, 1267, 1570, 2629, 2708, 4484, 4252, 2988, 3606, 190, 847, 1024, 1589, 1624, 1724, 2335, 3140, 3881, 4802]","[0.605096610894698, 0.26709139693399275]"
2970,2970,"[294, 413, 553, 918, 2184, 4493, 3349, 4587, 4702, 3222, 3891, 3003, 3493, 3525, 3609, 4217, 4287, 4566]","[0.14551070074851735, 0.06632667870315967]"
2971,2971,[853],"[0.8964364718963364, 0.7066102362334141]"
2972,2972,"[81, 430, 441, 1066, 1116, 1307, 2039, 3396, 3672, 4360, 4701, 151, 2402, 2536, 3164, 3521, 3609, 3820, 3984, 4081, 4153, 4579, 4972]","[0.19631826144874454, 0.01893875123105948]"
2973,2973,"[136, 495, 1150, 1519, 2671, 2723, 4079, 906, 3361, 4142, 4384, 4717]","[0.04519160228867858, 0.5032287422686249]"
2974,2974,"[1341, 1908, 4650, 3589, 4442, 4986, 3387, 3384, 109, 557, 1763, 1783, 1784, 2321, 2521, 3497, 3518, 4253, 4383, 4859]","[0.8457170913797981, 0.9196504507998605]"
2975,2975,"[83, 560, 912, 1465, 2658, 2750, 3489, 657, 2142, 2151, 2294, 2419, 3113, 3177, 3650, 3947]","[0.6482212144009087, 0.9601865755440355]"
2976,2976,"[125, 1301, 1799, 2187, 4159, 4219, 3580, 3531, 227, 266, 1954, 2280, 2376, 3578, 3663, 3666, 4461]","[0.21099887761843317, 0.14830447218659204]"
2977,2977,"[4494, 4526, 1243, 1873, 4759]","[0.867876721062906, 0.48057416278577103]"
2978,2978,"[299, 453, 1179, 1707, 3582, 3503, 4280, 3029, 440, 1118, 1392, 1651, 2649, 2782, 3678, 4289, 4307]","[0.6697146115602611, 0.2715679969784718]"
2979,2979,"[186, 445, 1499, 1786, 4019, 4638, 3082, 3006, 844, 1033, 1054, 4560, 4620, 4922]","[0.9208400744657275, 0.8268300441030185]"
2980,2980,"[976, 1320, 4242, 4006, 3666, 266, 1045, 3358, 3898, 4219, 4387]","[0.25513695470658426, 0.1648468937995725]"
2981,2981,"[1152, 1293, 2049, 2199, 4072, 485, 620, 772, 1752, 2096, 2140, 4617]","[0.038239071684235015, 0.04714249749510546]"
2982,2982,"[698, 2502, 2954, 4102, 3684, 4201]","[0.5097897410649589, 0.19629728648355904]"
2983,2983,"[825, 1064, 3420]","[0.9335756038059274, 0.5697439015113264]"
2984,2984,"[5, 2279, 3323, 4160, 3944, 3910, 2779, 3287, 3520, 3937, 4380, 4936, 4958]","[0.3239059431460257, 0.3897685047371612]"
2985,2985,"[1154, 1993, 2170, 2549, 2698, 4042, 3587, 4645, 4767, 35, 67, 90, 584, 950, 1402, 1414, 2192, 2198]","[0.7650583759945043, 0.06074506994801909]"
2986,2986,"[824, 1964, 2474, 3941, 3310, 3842, 376, 1357, 1986, 2619, 3300, 3815]","[0.7965833382913625, 0.6652198165246508]"
2987,2987,"[2208, 2626, 4681, 3816, 3338, 3971, 270, 1556, 4365]","[0.2838158444722235, 0.32139255117003696]"
2988,2988,"[190, 1267, 1724, 2629, 2969, 4484, 401, 1262, 1264, 1373, 1570, 1624, 2708, 3140, 3606, 3881, 4252, 4501, 4802]","[0.5963007739131194, 0.27105989941219033]"
2989,2989,"[2378, 2758, 3562, 1681, 1860, 2880, 3491, 4124]","[0.9220035997100983, 0.7088618016631513]"
2990,2990,"[309, 863, 870, 1998, 4782, 4971, 1627, 1945, 2537, 4395, 4726, 4751]","[0.8121586649754008, 0.12074661581625934]"
2991,2991,"[131, 211, 546, 575, 959, 2143, 2213, 4362, 166, 378, 2657, 3419, 3475, 4677]","[0.36900645163442136, 0.5718422278394478]"
2992,2992,"[1298, 2570, 4312, 3768, 762, 1719, 2575, 2706, 3033, 3134, 3253, 4623]","[0.18793780865173149, 0.9648229849082951]"
2993,2993,"[1677, 1714, 2933, 3502, 4864, 4251, 835, 971, 2240, 2435, 3463]","[0.5017693538792062, 0.44835295914276785]"
2994,2994,"[2830, 2934, 4322, 3339, 858, 2093, 4774, 4790]","[0.7296828053919504, 0.6867726275632667]"
2995,2995,"[163, 640, 1625, 2033, 4874, 388, 851, 1070, 1306, 3116, 4482, 4603, 4778]","[0.2121303519444715, 0.8291411552293497]"
2996,2996,"[3842, 824, 3310]","[0.7816437324234807, 0.6400231587019545]"
2997,2997,"[781, 1594, 2843, 3761, 112, 1832, 2061, 2687, 3105]","[0.9997646673049431, 0.3169118823294489]"
2998,2998,"[256, 589, 702, 2293, 3411, 3726, 663, 1768, 4475, 4515, 4978]","[0.43275099874538536, 0.08373915796833364]"
2999,2999,"[735, 4359, 4644, 1309, 1599, 1891, 2614]","[0.08671402479346624, 0.19337326722121317]"
3000,3000,"[258, 1220, 1337, 1514, 2763, 4537, 3575, 4057, 4885, 147, 549, 786, 805, 2242, 2342, 2391, 2599, 3418, 4164, 4481, 4679]","[0.48607825507715596, 0.6694461365363076]"
3001,3001,"[1271, 1974, 2056, 2389, 3498, 1163, 1463, 2487, 2813, 3152, 3242, 3923, 4097, 4460, 4916]","[0.9115399458179406, 0.32252514957144884]"
3002,3002,"[278, 711, 1236, 1820, 3227, 3007, 4464, 604, 1095, 2058, 2568, 3374, 3501, 4047]","[0.4965295428963368, 0.22822354243306975]"
3003,3003,"[413, 553, 888, 4962, 3952, 918, 2297, 2970, 3222, 3349, 3525, 3812, 3873, 3891, 4493]","[0.12126793329586916, 0.06014365003370681]"
3004,3004,"[1250, 3299, 4090, 3437, 4813, 442, 576, 2472, 2685, 3514, 4822, 4908]","[0.7240425553912371, 0.9929941857517539]"
3005,3005,"[2722, 4030, 3380, 161, 1115, 1407, 1617, 2893, 3062]","[0.15524829273211582, 0.5247645978320092]"
3006,3006,"[186, 445, 1499, 1786, 2979, 4019, 4638, 3082, 789, 844, 1033, 1054, 1504, 4438, 4560, 4620, 4922]","[0.9113770424870914, 0.8328502561195472]"
3007,3007,"[278, 604, 1236, 1820, 2568, 3002, 4047, 4450, 3501, 4464, 711]","[0.48431601518467327, 0.21564603961852646]"
3008,3008,"[234, 945, 1619, 2165, 2290, 2441, 2727, 4700, 4865, 3805, 3611, 4797, 3015, 4906, 4194, 437, 1223, 2160, 2275, 2396, 2744, 2842, 3194, 3499, 3603, 4755, 4772]","[0.30971787992890043, 0.5761614020157572]"
3009,3009,"[147, 338, 986, 2243, 4164, 42, 248, 258, 549, 833, 991, 1514, 2242, 4227, 4345, 4552, 4604]","[0.44868758554841304, 0.642777250889465]"
3010,3010,"[66, 2886, 4052, 4438, 4019]","[0.8734838250420817, 0.8394946614403799]"
3011,3011,"[67, 90, 584, 1765, 2192, 2847, 35, 1402, 1440, 2549, 2666, 3587, 4042]","[0.7700537824323521, 0.02301977965652391]"
3012,3012,"[2517, 4849, 2031, 2574, 4336]","[0.11483393909236383, 0.4187179766565674]"
3013,3013,"[57, 212, 764, 2144, 2498, 2564, 2822, 3651, 4506, 3602, 3745, 650, 1196, 1295, 1348, 1824, 2785, 3092, 3965, 4398]","[0.4572689830730242, 0.3101192026985442]"
3014,3014,"[1839, 3895]","[0.11044180084325594, 0.7227481371211599]"
3015,3015,"[945, 1619, 2165, 2275, 2290, 2441, 2727, 2744, 2885, 3008, 3499, 4194, 3805, 3611, 4700, 234, 1223, 1747, 2160, 2396, 2842, 3194, 3603, 4041, 4755, 4797, 4865, 4906, 4943]","[0.30756891435136624, 0.5840319626547413]"
